block,trial,subj,trialType,cue,probe,response,rt,accuracy
3,40,s998,BY,nan,nan,nan,nan,nan
3,41,s998,BY,nan,nan,nan,nan,nan
3,42,s998,NG,nan,nan,nan,nan,nan
3,43,s998,AX,nan,nan,nan,nan,nan
3,44,s998,AX,nan,nan,nan,nan,nan
3,45,s998,BY,nan,nan,nan,nan,nan
3,46,s998,AX,nan,nan,nan,nan,nan
3,47,s998,AX,nan,nan,nan,nan,nan
3,48,s998,NG,nan,nan,nan,nan,nan
3,49,s998,NG,nan,nan,nan,nan,nan
3,50,s998,BY,nan,nan,nan,nan,nan
3,51,s998,BY,nan,nan,nan,nan,nan
3,52,s998,AX,nan,nan,nan,nan,nan
3,53,s998,BY,nan,nan,nan,nan,nan
3,54,s998,BY,nan,nan,nan,nan,nan
3,55,s998,AX,nan,nan,nan,nan,nan
3,56,s998,BY,nan,nan,nan,nan,nan
3,57,s998,AX,nan,nan,nan,nan,nan
3,58,s998,AX,nan,nan,nan,nan,nan
3,59,s998,NG,nan,nan,nan,nan,nan
3,60,s998,BY,nan,nan,nan,nan,nan
3,61,s998,BY,nan,nan,nan,nan,nan
